Item,Value,Description,Order Quantity,Unit Price,Total Price,URL
EEE-FK1A221XP,220uF,Electrolytic Capacitor,3,₹0.69,₹2.07,https://www.digikey.in/en/products/detail/panasonic-electronic-components/EEE-FK1A221XP/765946
CL21B105KOFNFNE,1uF,MLCC,8,₹0.70,₹5.60,https://robu.in/product/cl21b105kofnfne-samsang-16v-1uf-x7r-%c2%b110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
CL21B104KAFNNNE,0.1uF,MLCC,4,₹0.70,₹2.80,https://robu.in/product/cl21b104kafnnne-samsang-25v-100nf-x7r-%c2%b110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
Robu 595604,22nF,MLCC,3,₹2.16,₹6.48,https://robu.in/product/22nf-0805-surface-mount-multilayer-ceramic-capacitor-pack-of-50/
CL21A335KPFNNNE,3.3uF,MLCC,3,₹6.00,₹18.00,https://robu.in/product/cl21a335kpfnnne-samsang-10v-3-3uf-x5r-%c2%b110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
Robu 595357,22pF,MLCC,3,₹0.33,₹0.99,https://robu.in/product/22pf-0805-surface-mount-multilayer-ceramic-capacitor-pack-of-50/
CL21C101JCANNNC,100pF,MLCC,3,₹0.37,₹1.11,https://robu.in/product/cl21c101jcannnc-samsung-cap-ceramic-100pf-100v-c0g-5-pad-smd-0805-125c-t-r/
AC0805FR-073K3L,3.3k,Resistor,6,₹0.32,₹1.92,https://robu.in/product/ac0805fr-073k3l-yageo-res-thick-film-0805-3-3k-ohm-1-0-125w1-8w-%c2%b1100ppm-c-pad-smd-t-r-automotive-aec-q200/
AC0805FR-071KL,1K,Resistor,4,₹0.72,₹2.88,https://robu.in/product/ac0805fr-071kl-yageo-res-thick-film-0805-1k-ohm-1-0-125w1-8w-%c2%b1100ppm-c-pad-smd-t-r-automotive-aec-q200/
AF0805FR-075K1L,5.1k,Resistor,3,₹1.27,₹3.81,https://robu.in/product/af0805fr-075k1l-yageo-5-1k%cf%89-%c2%b11-125mw-thick-film-%c2%b1100ppm-%e2%84%83-0805-chip-resistor-surface-mount-rohs/
RC0805FR-0716RL,16R,Resistor,3,₹0.42,₹1.26,https://robu.in/product/rc0805fr-0716rl-yageo-smd-chip-resistor-16-ohm-%c2%b1-1-125-mw-0805-2012-metric-thick-film-general-purpose/
RC0805FR-0722RL,22R,Resistor,3,₹0.25,₹0.75,https://robu.in/product/rc0805fr-0722rl-yageo-smd-chip-resistor-22-ohm-%c2%b1-1-125-mw-0805-2012-metric-thick-film-general-purpose/
RC0805FR-0710KL,10k,Resistor,2,₹0.35,₹0.70,https://robu.in/product/rc0805fr-0710kl-yageo-res-thick-film-0805-10k-ohm-1-0-125w1-8w-%c2%b1100ppm-c-pad-smd-t-r/
RT0805FRE071ML,1M,Resistor,2,₹2.53,₹5.06,https://robu.in/product/rt0805fre071ml-yageo-125mw-thin-film-resistor-%c2%b150ppm-%e2%84%83-%c2%b11-1m%cf%89-0805-chip-resistor-surface-mount-rohs/
AC0805FR-071K5L,1.5k,Resistor,2,₹0.32,₹0.64,https://robu.in/product/ac0805fr-071k5l-yageo-res-thick-film-0805-1-5k-ohm-1-0-125w1-8w-%c2%b1100ppm-c-pad-smd-t-r-automotive-aec-q200/
MLP2012H1R0MT0S1,1uH,Inductor,2,₹13.00,₹26.00,https://robu.in/product/mlp2012h1r0mt0s1-tdk-1-1a-1uh-%C2%B120-120m%CF%89-0805-inductors-smd-rohs
LTST-C170GKT,Green LED,LED,2,₹5.00,₹10.00,https://robu.in/product/ltst-c170gkt-lite-on-20ma-6mcd-colorless-transparent-lens-55%e2%84%8385%e2%84%83-569nm-yellow-green-130-100mw-2-1v-0805-led-indication-discrete-rohs/
LTST-C171KRKT,Red LED,LED,2,₹2.73,₹5.46,https://robu.in/product/ltst-c171krkt-lite-on-20ma-54mcd-colorless-transparent-lens-55%e2%84%8385%e2%84%83-631nm-red-130-75mw-2v-0805-led-indication-discrete-rohs/
EEE-HB1H2R2R,2.2uF,Electrolytic Capacitor,3,₹30.00,₹90.00,https://www.digikey.in/en/products/detail/panasonic-electronic-components/EEE-HB1H2R2R/817516
Robu 1142271,6MHz,Crystal Oscillator,2,₹12.00,₹24.00,https://robu.in/product/6mhz-crystal-oscillator-hc49-us-package-pack-of-5/
Robu 537558,Pin Header 01x02 (2),Pin Headers,1,₹10.00,₹10.00,https://robu.in/product/2-54mm-2x40-pin-male-double-row-straight-long-header-strip/
Robu 535810,Pin Header 02x06,Pin Headers,1,₹18.00,₹18.00,https://robu.in/product/2-54mm-2x20-pin-male-double-row-smt-header-strip-pack-of-5/
TYPE-C-31-M-23,USB_C_Receptacle,USB C Receptacle,2,₹65.00,₹130.00,https://robu.in/product/type-c-31-m-23-hroparts-1-surface-mount-right-angle-16p-female-55%e2%84%8385%e2%84%83-type-c-smd-usb-connectors-rohs/
USBLC6-2SC6,USBLC6-2SC6,Esd Protection,2,₹31.00,₹62.00,https://www.digikey.in/en/products/detail/stmicroelectronics/USBLC6-2SC6/1040559
PCM2912APJTR,PCM2912APJTR,AUDIO Codec,2,₹971.00,"₹1,942.00",https://www.digikey.in/en/products/detail/texas-instruments/PCM2912APJTR/2047509
SJ-435107,SJ-435107,TRRS Jack,2,₹145.00,₹290.00,https://www.digikey.in/en/products/detail/same-sky-formerly-cui-devices/SJ-435107/3064634
,,,,,,
Expected shipping,For DigiKey and Robu,DigiKey has 1200rs Shipping Fees,,,2000,
TOTAL,,,,,"₹4,661.53",